dist,depth,avlon,avlat
53.1,9.5,80.8,29.7
53.2,9.5,80.8,29.7
53.3,9.5,80.8,29.7
53.4,9.5,80.8,29.7
53.5,9.5,80.8,29.7
53.6,9.5,80.8,29.7
53.7,9.6,80.8,29.7
53.8,9.6,80.8,29.7
53.9,9.6,80.8,29.7
54.0,9.7,80.8,29.7
54.1,9.7,80.8,29.7
54.2,9.8,80.8,29.7
54.3,9.8,80.8,29.7
54.4,9.9,80.8,29.7
54.5,9.9,80.8,29.7
54.6,10.0,80.8,29.7
54.7,10.0,80.8,29.7
54.8,9.7,80.8,29.7
54.9,9.8,80.8,29.7
55.0,9.9,80.8,29.7
55.1,9.9,80.8,29.7
55.2,10.0,80.8,29.7
55.3,10.1,80.8,29.7
55.4,10.2,80.8,29.7
55.5,10.3,80.8,29.7
55.6,10.3,80.8,29.7
55.7,10.4,80.8,29.7
55.8,10.4,80.8,29.7
55.9,10.4,80.8,29.7
56.0,10.3,80.8,29.7
56.1,10.2,80.8,29.7
56.2,10.2,80.8,29.7
56.3,10.2,80.8,29.7
56.4,10.2,80.8,29.7
56.5,10.3,80.8,29.7
56.6,10.3,80.8,29.7
56.7,10.3,80.8,29.7
56.8,10.3,80.8,29.7
56.9,10.3,80.8,29.7
57.0,10.3,80.8,29.7
57.1,10.3,80.8,29.7
57.2,10.3,80.8,29.7
57.3,10.3,80.8,29.7
57.4,10.4,80.8,29.7
57.5,10.4,80.8,29.7
57.6,10.4,80.8,29.7
57.7,10.4,80.8,29.7
57.8,10.3,80.8,29.7
57.9,10.4,80.8,29.7
58.0,10.4,80.8,29.7
58.1,10.4,80.8,29.7
58.2,10.4,80.8,29.7
58.3,10.4,80.8,29.7
58.4,10.4,80.8,29.7
58.5,10.4,80.8,29.7
58.6,10.4,80.8,29.7
58.7,10.4,80.8,29.7
58.8,10.4,80.8,29.7
58.9,10.4,80.8,29.7
59.0,10.5,80.8,29.7
59.1,10.5,80.8,29.7
59.2,10.6,80.8,29.7
59.3,10.6,80.8,29.7
59.4,10.6,80.8,29.7
59.5,10.7,80.8,29.7
59.6,10.7,80.8,29.7
59.7,10.8,80.8,29.7
59.8,10.8,80.8,29.7
59.9,10.8,80.8,29.7
60.0,10.9,80.8,29.7
60.1,10.9,80.8,29.7
60.2,11.0,80.8,29.7
60.3,10.8,80.8,29.7
60.4,10.6,80.8,29.7
60.5,10.6,80.8,29.7
60.6,10.6,80.8,29.7
60.7,10.7,80.8,29.7
60.8,10.7,80.8,29.7
60.9,10.7,80.8,29.7
61.0,10.7,80.8,29.7
61.1,10.7,80.8,29.7
61.2,10.7,80.8,29.7
61.3,10.7,80.8,29.7
61.4,10.7,80.8,29.7
61.5,10.7,80.8,29.7
61.6,10.7,80.8,29.7
61.7,10.7,80.8,29.7
61.8,10.7,80.8,29.7
61.9,10.8,80.8,29.7
62.0,10.8,80.8,29.7
62.1,10.8,80.8,29.7
62.2,10.8,80.8,29.7
62.3,10.8,80.8,29.7
62.4,10.8,80.8,29.7
62.5,10.8,80.8,29.7
62.6,10.8,80.8,29.7
62.7,10.8,80.8,29.7
62.8,10.8,80.8,29.7
62.9,10.8,80.8,29.7
63.0,10.9,80.8,29.7
63.1,10.9,80.8,29.7
63.2,10.9,80.8,29.7
63.3,10.9,80.8,29.7
63.4,10.9,80.8,29.7
63.5,11.0,80.8,29.7
63.6,11.0,80.8,29.7
63.7,11.0,80.8,29.7
63.8,11.0,80.8,29.7
63.9,11.1,80.8,29.7
64.0,11.1,80.8,29.7
64.1,11.1,80.8,29.7
64.2,11.0,80.8,29.7
64.3,11.0,80.8,29.7
64.4,11.0,80.8,29.7
64.5,11.0,80.8,29.7
64.6,11.0,80.8,29.7
64.7,11.0,80.8,29.7
64.8,11.0,80.8,29.7
64.9,11.0,80.8,29.7
65.0,11.1,80.8,29.7
65.1,11.1,80.8,29.7
65.2,11.2,80.8,29.7
65.3,11.3,80.8,29.7
65.4,11.3,80.8,29.7
65.5,11.4,80.8,29.7
65.6,11.4,80.8,29.7
65.7,11.5,80.8,29.7
65.8,11.5,80.8,29.7
65.9,11.6,80.8,29.7
66.0,11.7,80.8,29.7
66.1,11.7,80.8,29.7
66.2,11.7,80.8,29.7
66.3,11.6,80.8,29.7
66.4,11.6,80.8,29.7
66.5,11.5,80.8,29.7
66.6,11.5,80.8,29.7
66.7,11.4,80.8,29.7
66.8,11.4,80.8,29.7
66.9,11.3,80.8,29.7
67.0,11.3,80.8,29.7
67.1,11.4,80.8,29.7
67.2,11.4,80.8,29.7
67.3,11.5,80.8,29.7
67.4,11.5,80.8,29.7
67.5,11.5,80.8,29.7
67.6,11.5,80.8,29.7
67.7,11.5,80.8,29.7
67.8,11.5,80.8,29.7
67.9,11.5,80.8,29.7
68.0,11.4,80.8,29.7
68.1,11.4,80.8,29.7
68.2,11.4,80.8,29.7
68.3,11.4,80.8,29.7
68.4,11.4,80.8,29.7
68.5,11.4,80.8,29.7
68.6,11.4,80.8,29.7
68.7,11.4,80.8,29.7
68.8,11.4,80.8,29.7
68.9,11.4,80.8,29.7
69.0,11.4,80.8,29.7
69.1,11.4,80.8,29.7
69.2,11.4,80.8,29.7
69.3,11.5,80.8,29.7
69.4,11.5,80.8,29.7
69.5,11.6,80.8,29.7
69.6,11.6,80.8,29.7
69.7,11.6,80.8,29.7
69.8,11.7,80.8,29.7
69.9,11.7,80.8,29.7
70.0,11.8,80.8,29.7
70.1,11.8,80.8,29.7
70.2,11.8,80.8,29.7
70.3,11.9,80.8,29.7
70.4,11.9,80.8,29.7
70.5,12.0,80.8,29.7
70.6,12.0,80.8,29.7
70.7,11.9,80.8,29.7
70.8,11.9,80.8,29.7
70.9,11.9,80.8,29.7
71.0,11.9,80.8,29.7
71.1,11.8,80.8,29.7
71.2,11.8,80.8,29.7
71.3,11.8,80.8,29.7
71.4,11.8,80.8,29.7
71.5,11.8,80.8,29.7
71.6,11.8,80.8,29.7
71.7,11.8,80.8,29.7
71.8,11.8,80.8,29.7
71.9,11.8,80.8,29.7
72.0,11.8,80.8,29.7
72.1,11.8,80.8,29.7
72.2,11.8,80.8,29.7
72.3,11.8,80.8,29.7
72.4,11.8,80.8,29.7
72.5,11.8,80.8,29.7
72.6,11.8,80.8,29.7
72.7,11.8,80.8,29.7
72.8,11.8,80.8,29.7
72.9,11.8,80.8,29.7
73.0,11.8,80.8,29.7
73.1,11.9,80.8,29.7
73.2,11.9,80.8,29.7
73.3,12.1,80.8,29.7
73.4,12.2,80.8,29.7
73.5,12.2,80.8,29.7
73.6,12.2,80.8,29.7
73.7,12.2,80.8,29.7
73.8,12.3,80.8,29.7
73.9,12.3,80.8,29.7
74.0,12.3,80.8,29.7
74.1,12.3,80.8,29.7
74.2,12.4,80.8,29.7
74.3,12.4,80.8,29.7
74.4,12.4,80.8,29.7
74.5,12.4,80.8,29.7
74.6,12.5,80.8,29.7
74.7,12.5,80.8,29.7
74.8,12.5,80.8,29.7
74.9,12.4,80.8,29.7
75.0,12.4,80.8,29.7
75.1,12.4,80.8,29.7
75.2,12.4,80.8,29.7
75.3,12.3,80.8,29.7
75.4,12.3,80.8,29.7
75.5,12.3,80.8,29.7
75.6,12.2,80.8,29.7
75.7,12.2,80.8,29.7
75.8,12.2,80.8,29.7
75.9,12.1,80.8,29.7
76.0,12.2,80.8,29.7
76.1,12.2,80.8,29.7
76.2,12.3,80.8,29.7
76.3,12.3,80.8,29.7
76.4,12.4,80.8,29.7
76.5,12.4,80.8,29.7
76.6,12.5,80.8,29.7
76.7,12.5,80.8,29.7
76.8,12.6,80.8,29.7
76.9,12.6,80.8,29.7
77.0,12.6,80.8,29.7
77.1,12.6,80.8,29.7
77.2,12.5,80.8,29.7
77.3,12.5,80.8,29.7
77.4,12.5,80.8,29.7
77.5,12.5,80.8,29.7
77.6,12.5,80.8,29.7
77.7,12.5,80.8,29.7
77.8,12.5,80.8,29.7
77.9,12.4,80.8,29.7
78.0,12.4,80.8,29.7
78.1,12.4,80.8,29.7
78.2,12.4,80.8,29.7
78.3,12.4,80.8,29.7
78.4,12.4,80.8,29.7
78.5,12.4,80.8,29.7
78.6,12.4,80.8,29.7
78.7,12.4,80.8,29.7
78.8,12.4,80.8,29.7
78.9,12.4,80.8,29.7
79.0,12.5,80.8,29.7
79.1,12.6,80.8,29.7
79.2,12.7,80.8,29.7
79.3,12.7,80.8,29.7
79.4,12.8,80.8,29.7
79.5,12.9,80.8,29.7
79.6,13.0,80.8,29.7
79.7,13.0,80.8,29.7
79.8,13.1,80.8,29.7
