dist,depth,unc,AAID
57.10,13.31,5.97,621
57.20,13.31,5.96,622
57.30,13.30,5.95,623
57.40,13.30,5.95,624
57.50,13.29,5.94,625
57.60,13.29,5.93,626
57.70,13.29,5.93,627
57.80,13.28,5.92,628
57.90,13.28,5.91,629
58.00,13.27,5.91,630
58.10,13.30,5.94,631
58.20,13.32,5.98,632
58.30,13.34,6.02,633
58.40,13.37,6.06,634
58.50,13.39,6.10,635
58.60,13.42,6.13,636
58.70,13.44,6.17,637
58.80,13.46,6.21,638
58.90,13.49,6.25,639
59.00,13.51,6.29,640
59.10,13.52,6.30,641
59.20,13.53,6.31,642
59.30,13.54,6.32,643
59.40,13.55,6.34,644
59.50,13.56,6.35,645
59.60,13.57,6.36,646
59.70,13.58,6.38,647
59.80,13.59,6.39,648
59.90,13.60,6.40,649
60.00,13.61,6.41,650
60.10,13.64,6.43,651
60.20,13.67,6.44,652
60.30,13.71,6.45,653
60.40,13.74,6.46,654
60.50,13.77,6.47,655
60.60,13.80,6.48,656
60.70,13.84,6.49,657
60.80,13.87,6.50,658
60.90,13.90,6.51,659
61.00,13.94,6.52,660
61.10,13.98,6.54,661
61.20,14.02,6.56,662
61.30,14.07,6.58,663
61.40,14.11,6.60,664
61.50,14.15,6.62,665
61.60,14.20,6.64,666
61.70,14.24,6.66,667
61.80,14.28,6.67,668
61.90,14.33,6.69,669
62.00,14.37,6.71,670
62.10,14.41,6.73,671
62.20,14.45,6.74,672
62.30,14.49,6.75,673
62.40,14.53,6.76,674
62.50,14.57,6.77,675
62.60,14.61,6.78,676
62.70,14.65,6.79,677
62.80,14.68,6.80,678
62.90,14.72,6.82,679
63.00,14.76,6.83,680
63.10,14.76,6.83,681
63.20,14.75,6.83,682
63.30,14.74,6.83,683
63.40,14.73,6.83,684
63.50,14.73,6.83,685
63.60,14.72,6.84,686
63.70,14.71,6.84,687
63.80,14.71,6.84,688
63.90,14.70,6.84,689
64.00,14.69,6.84,690
64.10,14.73,6.89,691
64.20,14.78,6.93,692
64.30,14.82,6.97,693
64.40,14.86,7.01,694
64.50,14.91,7.05,695
64.60,14.95,7.10,696
64.70,14.99,7.14,697
64.80,15.03,7.18,698
64.90,15.08,7.22,699
65.00,15.12,7.27,700
65.10,15.14,7.26,701
65.20,15.17,7.26,702
65.30,15.19,7.26,703
65.40,15.21,7.26,704
65.50,15.23,7.25,705
65.60,15.26,7.25,706
65.70,15.28,7.25,707
65.80,15.30,7.25,708
65.90,15.32,7.24,709
66.00,15.35,7.24,710
66.10,15.39,7.25,711
66.20,15.44,7.26,712
66.30,15.49,7.27,713
66.40,15.53,7.28,714
66.50,15.58,7.28,715
66.60,15.62,7.29,716
66.70,15.67,7.30,717
66.80,15.72,7.31,718
66.90,15.76,7.32,719
67.00,15.81,7.33,720
67.10,15.83,7.33,721
67.20,15.85,7.32,722
67.30,15.87,7.32,723
67.40,15.89,7.32,724
67.50,15.91,7.32,725
67.60,15.93,7.32,726
67.70,15.96,7.31,727
67.80,15.98,7.31,728
67.90,16.00,7.31,729
68.00,16.02,7.31,730
68.10,16.04,7.34,731
68.20,16.06,7.37,732
68.30,16.08,7.40,733
68.40,16.11,7.43,734
68.50,16.13,7.46,735
68.60,16.15,7.49,736
68.70,16.17,7.52,737
68.80,16.20,7.55,738
68.90,16.22,7.59,739
69.00,16.24,7.62,740
69.10,16.25,7.62,741
69.20,16.25,7.62,742
69.30,16.25,7.62,743
69.40,16.26,7.62,744
69.50,16.26,7.62,745
69.60,16.26,7.62,746
69.70,16.27,7.62,747
69.80,16.27,7.62,748
69.90,16.28,7.62,749
70.00,16.28,7.63,750
70.10,16.30,7.64,751
70.20,16.31,7.65,752
70.30,16.33,7.66,753
70.40,16.34,7.67,754
70.50,16.36,7.68,755
70.60,16.37,7.69,756
70.70,16.39,7.70,757
70.80,16.40,7.71,758
70.90,16.42,7.72,759
71.00,16.44,7.73,760
71.10,16.44,7.74,761
71.20,16.44,7.76,762
71.30,16.44,7.77,763
71.40,16.45,7.79,764
71.50,16.45,7.81,765
71.60,16.45,7.82,766
71.70,16.46,7.84,767
71.80,16.46,7.85,768
71.90,16.46,7.87,769
72.00,16.47,7.88,770
72.10,16.48,7.90,771
72.20,16.50,7.91,772
72.30,16.51,7.92,773
72.40,16.53,7.93,774
72.50,16.55,7.95,775
72.60,16.56,7.96,776
72.70,16.58,7.97,777
