lon,lat,depth,mag,unc,date
-124.17,48.01,0.0,1.4,10.0,12/18/1986
-123.1,48.6,17.9,0.3,10.0,12/24/1986
-122.07,49.1,0.0,1.0,10.0,12/25/1986
-122.44,48.77,20.9,2.1,10.0,12/26/1986
-122.35,49.12,2.2,1.0,10.0,12/27/1986
-123.32,48.7,21.6,0.8,10.0,12/27/1986
-123.0,48.62,10.6,1.8,10.0,12/27/1986
-123.72,48.47,20.4,0.9,10.0,12/28/1986
-125.55,48.68,11.3,1.7,10.0,12/29/1986
-122.33,49.13,3.5,1.2,10.0,12/29/1986
-122.48,48.79,31.0,1.5,10.0,01/01/1987
-123.48,48.55,35.1,1.6,10.0,01/04/1987
-123.61,49.25,2.5,0.7,10.0,01/05/1987
-121.99,48.99,3.4,1.5,10.0,01/06/1987
-122.74,48.55,27.5,1.0,10.0,01/07/1987
-122.1,49.13,0.0,0.8,10.0,01/08/1987
-122.41,48.9,22.6,0.8,10.0,01/09/1987
-122.75,48.53,32.8,1.4,10.0,01/12/1987
-123.39,48.01,36.6,1.0,10.0,1/25/1987
-123.32,48.22,21.9,1.1,10.0,02/01/1987
-127.28,49.68,1.4,1.7,10.0,02/04/1987
-122.14,49.08,8.3,0.8,10.0,02/06/1987
-124.54,48.59,0.0,1.3,10.0,2/13/1987
-123.06,48.46,31.5,1.0,10.0,2/16/1987
-124.54,48.57,0.0,0.7,10.0,2/17/1987
-124.66,49.74,18.0,1.0,10.0,2/19/1987
-122.95,48.43,13.1,1.2,10.0,2/20/1987
-124.92,48.61,0.3,0.9,10.0,2/23/1987
-122.41,48.92,25.2,1.3,10.0,2/27/1987
-124.0,49.23,22.5,0.8,10.0,03/04/1987
-122.73,48.92,23.4,0.9,10.0,03/07/1987
-122.49,48.68,24.5,1.4,10.0,03/07/1987
-122.79,48.24,27.3,1.3,10.0,03/09/1987
-122.79,48.72,20.6,0.8,10.0,03/11/1987
-122.64,48.27,24.4,1.0,10.0,03/12/1987
-121.76,48.25,0.0,3.0,10.0,3/17/1987
-126.89,50.44,26.5,1.1,10.0,3/19/1987
-126.89,50.43,27.3,1.5,10.0,3/19/1987
-122.5,48.68,25.0,1.3,10.0,3/20/1987
-122.5,48.68,20.3,1.2,10.0,3/23/1987
-122.51,48.69,0.0,2.1,10.0,3/23/1987
-123.88,48.56,19.0,1.2,10.0,3/28/1987
-125.34,49.24,11.4,0.9,10.0,3/28/1987
-123.32,48.46,18.0,0.4,10.0,3/28/1987
-123.62,49.25,11.7,0.7,10.0,3/29/1987
-125.67,49.1,18.5,0.8,10.0,04/01/1987
-123.62,49.26,2.4,0.6,10.0,04/01/1987
-124.13,49.43,5.6,0.4,10.0,04/02/1987
-123.42,48.49,21.9,0.6,10.0,04/04/1987
-123.29,48.69,22.0,0.6,10.0,04/08/1987
-122.18,48.71,22.2,1.3,10.0,04/08/1987
-123.29,48.69,20.9,1.1,10.0,04/08/1987
-123.59,49.7,3.3,3.9,10.0,04/08/1987
-123.6,49.71,5.3,1.8,10.0,04/08/1987
-123.59,49.7,4.9,0.3,10.0,04/08/1987
-123.6,49.7,3.8,1.1,10.0,04/08/1987
-123.59,49.7,3.1,1.5,10.0,04/08/1987
-123.59,49.7,3.1,1.5,10.0,04/08/1987
-123.6,49.7,3.4,1.1,10.0,04/08/1987
-123.58,49.7,3.6,0.2,10.0,04/09/1987
-123.59,49.7,3.6,0.7,10.0,04/09/1987
-122.76,48.27,21.4,1.0,10.0,04/11/1987
-123.59,49.7,3.0,1.0,10.0,4/14/1987
-123.57,49.7,1.1,1.2,10.0,4/18/1987
-122.84,48.25,20.2,1.9,10.0,4/20/1987
-125.6,49.07,18.9,0.7,10.0,4/23/1987
-124.56,49.74,1.2,0.9,10.0,4/23/1987
-123.59,49.7,3.3,1.0,10.0,4/24/1987
-126.96,50.44,30.8,1.4,10.0,4/24/1987
-124.96,48.58,5.0,0.9,10.0,4/25/1987
-125.11,49.23,15.1,0.5,10.0,05/01/1987
-123.59,49.71,3.3,1.4,10.0,05/04/1987
-123.53,48.43,2.0,0.3,10.0,05/06/1987
-123.64,49.31,3.8,1.2,10.0,05/07/1987
-123.45,48.87,4.1,0.7,10.0,05/07/1987
-122.75,49.14,12.7,1.4,10.0,05/07/1987
-122.33,49.13,4.3,1.4,10.0,05/09/1987
-122.97,48.61,17.9,0.3,10.0,05/10/1987
-126.89,50.43,29.0,1.9,10.0,05/11/1987
-126.84,49.74,24.5,1.3,10.0,5/14/1987
-122.32,49.24,1.3,1.6,10.0,5/15/1987
-123.59,49.7,4.8,1.2,10.0,5/17/1987
-123.56,48.71,18.0,0.3,10.0,5/20/1987
-122.62,49.02,2.6,1.1,10.0,5/22/1987
-123.61,49.26,3.4,0.5,10.0,5/23/1987
-122.97,48.35,0.6,1.9,10.0,5/24/1987
-122.4,49.28,6.9,0.5,10.0,5/28/1987
-122.96,48.19,16.1,1.2,10.0,06/07/1987
-127.62,49.64,12.2,2.2,10.0,06/09/1987
-123.16,48.5,31.6,1.5,10.0,06/10/1987
-122.12,48.84,14.5,1.3,10.0,06/10/1987
