lon,lat,depth,mag,unc,date
-125.17,49.12,35.2,1.3,10.0,12/01/1987
-126.42,49.08,37.9,1.5,10.0,12/16/1987
-125.57,49.13,35.6,1.4,10.0,12/17/1987
-125.08,48.93,35.5,1.8,10.0,12/21/1987
-123.98,49.32,65.6,0.8,10.0,12/29/1987
-126.98,49.57,34.8,1.0,10.0,01/01/1988
-126.26,49.06,37.0,1.6,10.0,01/02/1988
-126.93,49.64,35.5,1.1,10.0,01/07/1988
-126.56,49.52,31.0,1.3,10.0,1/18/1988
-126.92,49.76,35.1,1.0,10.0,1/24/1988
-126.0,48.56,20.0,1.7,10.0,1/29/1988
-123.62,49.03,56.6,1.6,10.0,1/31/1988
-126.9,49.6,44.2,1.1,10.0,02/02/1988
-127.21,49.49,32.2,1.8,10.0,02/07/1988
-125.57,48.91,34.2,1.7,10.0,02/09/1988
-123.19,48.54,50.7,1.0,10.0,2/16/1988
-125.67,48.93,33.8,1.9,10.0,2/19/1988
-127.08,49.5,38.2,2.1,10.0,2/26/1988
-126.66,49.16,32.9,2.3,10.0,2/29/1988
-122.58,48.26,51.7,0.8,10.0,03/01/1988
-124.8,48.32,26.6,1.3,10.0,03/05/1988
-125.62,49.19,37.1,2.0,10.0,3/15/1988
-126.2,49.29,34.2,1.5,10.0,3/19/1988
-127.08,49.38,35.2,1.4,10.0,3/19/1988
-125.6,49.12,32.4,1.1,10.0,3/29/1988
-126.03,48.84,37.0,1.5,10.0,04/03/1988
-125.08,48.93,33.1,1.5,10.0,04/05/1988
-124.61,48.24,33.3,1.3,10.0,04/06/1988
-125.0,48.54,31.0,1.2,10.0,04/11/1988
-124.94,48.84,34.2,1.5,10.0,04/12/1988
-125.97,49.45,37.1,1.2,10.0,4/18/1988
-125.88,48.9,31.0,1.0,10.0,4/21/1988
-126.18,49.56,35.4,1.5,10.0,4/23/1988
-122.81,48.18,50.5,1.3,10.0,4/27/1988
-124.83,48.83,32.4,1.5,10.0,05/01/1988
-126.65,49.06,32.2,1.9,10.0,05/02/1988
-127.09,49.71,31.0,1.8,10.0,05/02/1988
-123.96,49.32,65.9,0.7,10.0,05/04/1988
-125.23,48.99,32.7,1.3,10.0,05/09/1988
-124.67,48.06,37.3,1.3,10.0,05/09/1988
-123.99,49.37,66.2,0.7,10.0,5/14/1988
-124.0,49.36,65.6,0.3,10.0,5/15/1988
-126.24,49.63,37.1,2.4,10.0,06/04/1988
-126.89,49.37,35.0,2.9,10.0,06/05/1988
-125.22,48.08,35.1,1.5,10.0,06/07/1988
-125.29,48.31,34.7,1.2,10.0,06/07/1988
-126.98,49.64,31.0,1.2,10.0,6/23/1988
-125.31,48.73,26.0,1.4,10.0,6/25/1988
-123.94,49.56,71.9,2.8,10.0,6/29/1988
-125.3,48.94,31.0,1.0,10.0,07/05/1988
-123.54,48.88,59.2,2.6,10.0,07/10/1988
-125.19,48.52,30.6,1.0,10.0,07/11/1988
-125.68,49.69,52.8,1.0,10.0,7/22/1988
-126.5,49.26,31.0,1.8,10.0,7/23/1988
-122.86,48.29,51.1,0.9,10.0,7/24/1988
-123.9,49.25,60.6,1.4,10.0,7/27/1988
-122.67,49.03,73.5,1.2,10.0,08/03/1988
-125.58,49.13,33.4,1.0,10.0,8/17/1988
-127.17,49.4,37.3,1.6,10.0,8/25/1988
-126.78,49.77,37.0,1.1,10.0,09/02/1988
-126.22,49.08,36.0,1.6,10.0,09/04/1988
-125.08,48.84,44.9,2.3,10.0,09/05/1988
-123.43,49.03,55.4,1.5,10.0,09/12/1988
-125.19,49.03,34.3,1.1,10.0,9/23/1988
-124.64,48.25,33.9,2.0,10.0,9/23/1988
-126.88,49.84,30.7,1.4,10.0,10/03/1988
-123.05,48.65,56.0,1.2,10.0,10/04/1988
-123.05,48.76,55.8,1.0,10.0,10/04/1988
-125.62,49.22,33.5,1.2,10.0,10/11/1988
-125.39,48.87,31.7,1.7,10.0,10/12/1988
-122.72,48.31,49.9,0.9,10.0,10/19/1988
-122.68,48.1,50.5,2.0,10.0,10/28/1988
-125.25,48.89,32.2,1.4,10.0,11/01/1988
-125.26,48.83,31.5,2.4,10.0,11/01/1988
-124.66,48.46,36.6,2.0,10.0,11/02/1988
-125.98,49.38,42.9,2.5,10.0,11/15/1988
-125.67,48.13,27.9,2.2,10.0,11/21/1988
-126.99,49.62,28.7,1.6,10.0,12/07/1988
-124.96,48.43,29.3,1.5,10.0,12/07/1988
-125.82,48.72,28.9,1.0,10.0,12/10/1988
-125.14,49.01,35.3,1.1,10.0,12/11/1988
-126.08,49.05,32.7,1.9,10.0,12/20/1988
-127.33,49.84,36.0,1.5,10.0,01/04/1989
-126.8,49.07,47.4,2.0,10.0,01/09/1989
-126.9,49.51,31.2,2.0,10.0,01/11/1989
-125.8,48.67,37.2,1.8,10.0,1/17/1989
-126.81,49.44,44.3,1.7,10.0,1/23/1989
-127.5,49.71,28.4,1.6,10.0,02/04/1989
-127.53,49.69,27.4,1.4,10.0,02/10/1989
-127.5,49.5,31.3,1.4,10.0,02/12/1989
-126.0,49.24,37.6,0.8,10.0,2/17/1989
-124.79,48.72,35.6,0.6,10.0,2/18/1989
-126.81,49.38,30.9,1.9,10.0,2/21/1989
-127.27,49.61,25.9,1.6,10.0,2/22/1989
-126.67,49.51,31.7,1.4,10.0,2/27/1989
-127.56,49.26,10.0,3.0,10.0,03/02/1989
-122.77,48.17,58.1,1.4,10.0,03/06/1989
-124.4,48.0,36.7,3.1,10.0,03/07/1989
-125.01,48.65,27.5,1.5,10.0,03/11/1989
-124.64,48.77,33.6,0.4,10.0,3/16/1989
-125.51,49.17,33.2,2.0,10.0,3/16/1989
-124.58,48.03,38.3,1.7,10.0,3/16/1989
-125.51,48.92,31.0,1.6,10.0,3/19/1989
-127.26,49.7,29.0,2.1,10.0,3/21/1989
-124.51,48.73,35.2,1.8,10.0,04/11/1989
-126.84,49.85,39.0,2.0,10.0,4/15/1989
-126.99,49.46,33.8,1.4,10.0,4/16/1989
-125.31,49.16,35.9,1.7,10.0,4/19/1989
-126.19,48.9,39.4,1.5,10.0,4/20/1989
-125.82,48.96,25.0,1.0,10.0,4/22/1989
-125.01,48.65,26.6,1.4,10.0,4/24/1989
-127.0,49.54,34.6,1.3,10.0,4/30/1989
-122.86,48.16,53.3,1.6,10.0,4/30/1989
-126.98,49.64,38.4,1.6,10.0,05/01/1989
-127.44,49.34,10.0,2.1,10.0,05/06/1989
-125.7,49.17,34.7,1.8,10.0,05/06/1989
-125.67,49.24,36.0,0.7,10.0,05/08/1989
-127.4,49.53,29.6,2.0,10.0,5/14/1989
-126.72,49.53,32.5,1.4,10.0,5/18/1989
-127.61,49.71,32.7,2.2,10.0,5/18/1989
-127.4,49.58,32.2,1.7,10.0,5/19/1989
-125.63,49.33,46.4,2.4,10.0,5/21/1989
-127.09,49.6,25.8,1.2,10.0,5/22/1989
-125.08,48.3,28.6,1.1,10.0,5/25/1989
-126.93,49.69,38.5,1.8,10.0,06/02/1989
-123.14,48.67,51.4,0.9,10.0,06/03/1989
-125.74,48.61,37.0,1.8,10.0,06/05/1989
-127.49,49.55,32.0,2.0,10.0,06/08/1989
-126.06,49.33,37.4,2.1,10.0,06/12/1989
-123.64,49.11,57.8,1.0,10.0,6/22/1989
-126.83,49.58,27.3,1.3,10.0,6/26/1989
-123.1,49.02,64.3,1.0,10.0,6/29/1989
-125.66,48.71,36.3,2.0,10.0,6/29/1989
-127.46,49.48,38.3,2.2,10.0,07/01/1989
-125.6,48.82,31.0,1.5,10.0,07/06/1989
-123.92,49.26,57.6,0.6,10.0,07/09/1989
-125.39,48.99,31.3,1.6,10.0,07/09/1989
-127.39,49.78,30.5,1.3,10.0,07/09/1989
-127.3,49.65,34.7,1.2,10.0,07/10/1989
-126.9,49.59,34.4,2.0,10.0,7/15/1989
-123.0,48.55,54.3,1.4,10.0,7/21/1989
-125.83,48.9,35.2,1.8,10.0,7/21/1989
-125.75,49.09,34.8,0.9,10.0,7/26/1989
-127.47,49.43,31.9,1.6,10.0,08/01/1989
