lat,lon,depth,unc,ID,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,id_no,src
18.267,-68.858,85.000,15.000,100073,EQ,5.100,1976-12-31 16:32:50.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0000m0d,42718
18.152,-68.152,98.000,15.000,100074,EQ,5.000,1978-02-17 01:34:18.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0000t0b,42718
17.985,-68.387,95.000,15.000,100075,EQ,4.700,1978-11-06 08:18:29.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0000xa4,42718
18.098,-68.398,89.000,15.000,100076,EQ,4.700,1979-03-08 05:47:21.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0000z79,42718
17.987,-69.044,80.000,15.000,100077,EQ,6.100,1979-03-23 19:32:31.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0000zmq,42718
18.254,-68.830,209.000,15.000,100078,EQ,4.400,1979-05-22 04:13:49.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00010t8,42718
18.266,-68.645,144.000,15.000,100079,EQ,3.500,2016-01-01 16:57:49.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16001005,42718
17.945,-68.326,38.000,15.000,100080,EQ,3.200,2016-01-02 07:41:23.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16002004,42718
18.040,-68.368,118.000,15.000,100081,EQ,3.000,2016-01-08 18:32:40.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16008008,42718
17.170,-68.018,32.000,15.000,100082,EQ,3.300,2016-01-15 04:08:49.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16015000,42718
17.763,-68.830,80.000,15.000,100083,EQ,3.500,2016-01-15 18:38:05.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16015007,42718
18.163,-68.877,150.000,15.000,100084,EQ,3.600,2016-01-17 03:47:41.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16017005,42718
17.958,-68.344,62.000,15.000,100085,EQ,3.600,2016-01-22 06:09:30.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16022001,42718
18.130,-67.829,82.000,15.000,100086,EQ,3.300,2016-01-26 01:33:14.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16026000,42718
17.769,-68.374,114.000,15.000,100087,EQ,3.200,2016-01-28 09:18:16.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16028001,42718
18.253,-64.132,36.000,15.000,100088,EQ,3.400,2016-02-01 13:25:16.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16032006,42718
18.061,-67.961,102.000,15.000,100089,EQ,3.400,2016-02-04 06:43:16.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16035000,42718
