lon,lat,depth
139.463440318,35.3622203149,14.0763165178
139.425409311,35.4466411253,16.4594516599
139.387298444,35.5310499842,19.1243731331
139.349107309,35.6154468291,22.1670171169
139.310835499,35.6998315969,26.2037016746
139.272482603,35.7842042246,31.704176892
139.234048208,35.8685646484,38.1740851106
139.195531897,35.9529128045,44.5806369945
139.156933255,36.0372486285,50.3028250355
139.11825186,36.1215720556,56.722862544
139.079487291,36.2058830208,66.0808663424
139.040639123,36.2901814585,79.197507623
139.001706928,36.3744673031,93.1212125935
138.962690279,36.4587404881,104.161966729
138.923588742,36.543000947,111.353375452
138.884401884,36.6272486128,116.395181154
138.845129269,36.7114834181,120.547286938
139.769194501,34.9783641534,9.18103081184
139.731500405,35.0628322216,9.97275596398
139.69372823,35.1472886049,11.1678852267
139.655877579,35.2317332424,12.6955727075
139.617948055,35.3161660726,14.6948888863
139.579939255,35.400587034,17.1168317853
139.541850777,35.4849960645,19.7322512741
139.503682216,35.5693931017,22.3710462815
139.465433163,35.6537780828,25.4107462671
139.42710321,35.7381509448,29.5212812713
139.388691944,35.8225116242,35.0437594246
139.350198951,35.9068600572,41.1982783567
139.311623815,35.9911961794,46.9926999004
139.272966116,36.0755199264,52.6385934061
139.234225433,36.1598312332,59.8699626223
139.195401344,36.2441300345,70.3982967542
139.156493422,36.3284162646,83.1373759044
139.117501239,36.4126898573,95.1514359165
139.078424365,36.4969507462,103.964298515
139.039262366,36.5811988644,110.106498235
139.000014808,36.6654341446,115.129855686
139.890920586,35.0319027867,11.987389848
139.853162934,35.1163592302,12.7827426319
139.815326927,35.2008039414,13.7268599557
139.777412167,35.2852368592,15.1605811364
139.739418253,35.3696579218,17.2521124445
139.701344783,35.4540670674,19.8419855407
139.663191352,35.5384642337,22.6526747186
139.624957554,35.622849358,25.6613099343
139.58664298,35.7072223772,29.2900973892
139.548247218,35.791583228,34.0209766744
139.509769854,35.8759318467,39.5938173841
139.471210474,35.9602681691,45.1559705328
139.432568659,36.0445921307,50.2157959688
139.393843988,36.1289036667,56.0272543999
139.355036039,36.2132027119,64.2797826138
139.316144387,36.2974892006,75.1667412906
139.277168604,36.3817630668,86.5290164437
139.238108261,36.4660242441,95.9248242759
139.198962925,36.5502726658,102.914714994
139.159732162,36.6345082648,108.475018543
139.120415535,36.7187309733,113.007429911
140.015025922,35.0908170883,15.8896842349
139.977201991,35.1752618604,17.1254915025
139.939299406,35.2596948504,18.3379146546
139.901317768,35.3441159966,19.7322111035
139.863256674,35.4285252372,21.4095614957
139.825115722,35.5129225099,23.3713438578
139.786894504,35.5973077523,25.6458499816
139.748592612,35.6816809013,28.5327188707
139.710209636,35.7660418936,32.4012996542
139.671745162,35.8503906655,37.3240339178
139.633198775,35.934727153,42.7052051951
139.594570058,36.0190512918,47.755078669
139.555858592,36.103363017,52.8713987165
139.517063953,36.1876622634,59.5008855915
139.478185718,36.2719489655,68.5970389592
139.43922346,36.3562230574,78.8164928555
139.40017675,36.4404844728,88.0588324901
139.361045155,36.524733145,95.2985970734
139.321828243,36.6089690069,101.249549163
140.176489443,35.0653464481,15.1888605333
140.138677539,35.1497912809,17.587811747
140.10078708,35.2342243428,20.0615691916
140.062817668,35.3186455723,22.5284259089
140.024768901,35.4030549076,24.8304890937
139.986640376,35.4874522865,26.8172743174
139.948431687,35.5718376465,28.4847129515
139.910142426,35.6562109248,30.2035728032
139.871772183,35.7405720581,32.4817137768
139.833320547,35.8249209827,35.673162886
139.794787101,35.9092576349,39.7505995264
139.75617143,35.9935819501,44.3197364445
139.717473114,36.0778938638,49.167728122
139.678691732,36.1621933107,54.881348387
139.639826859,36.2464802256,62.4128669628
139.600878071,36.3307545424,71.4577786482
139.561844938,36.415016195,80.4612415365
139.522727029,36.4992651168,88.0087697748
139.483523912,36.5835012407,94.3709740498
139.44423515,36.6677244994,99.0592172427
140.336212504,35.0335525753,13.5964659966
140.298415592,35.1179974838,15.0150786957
140.260540248,35.2024306354,17.2265229017
140.222586076,35.2868519688,19.9797792392
140.184552674,35.3712614222,23.1292341463
140.146439639,35.4556589335,26.342339266
140.108246567,35.5400444403,29.255675892
140.069973051,35.6244178799,31.7195317813
140.03161868,35.708779189,34.0610136325
139.993183045,35.7931283042,36.6204692779
139.95466573,35.8774651617,39.538616101
139.91606632,35.9617896971,42.7952444958
139.877384396,36.0461018458,46.4517961167
139.838619538,36.1304015429,50.9389862696
139.799771322,36.214688723,56.763778801
139.760839324,36.2989633204,64.0412670296
139.721823115,36.3832252689,72.0149952475
139.682722265,36.467474502,79.5964561183
139.643536343,36.5517109528,86.326534407
140.460996527,35.0796396799,15.5418043484
140.423139388,35.1640729397,16.5796910703
140.385203569,35.2484943982,17.9839969722
140.347188672,35.332903994,19.9209124712
140.309094294,35.4173016649,22.3495243538
140.270920031,35.5016873486,25.0660732127
140.232665477,35.5860609826,27.8035929741
140.194330223,35.6704225037,30.6993805726
140.155913859,35.7547718486,33.9661326154
140.117415971,35.8391089535,37.6246971007
140.078836146,35.9234337542,41.3338397932
140.040173964,36.0077461864,44.880947063
140.001429007,36.092046185,48.5596870125
139.962600851,36.1763336849,53.0901130168
139.923689074,36.2606086204,58.8491931347
139.884693248,36.3448709255,65.3646049578
139.845612944,36.4291205338,71.9188017043
139.806447729,36.5133573786,78.2246923856
140.572714324,35.1288300277,18.719620882
140.534795339,35.2132516012,19.5979031409
140.496797413,35.2976613276,20.716351799
140.458720145,35.382059145,22.128460137
140.420563132,35.4664449912,23.7167144019
140.382325968,35.5508188036,25.3282240602
140.344008246,35.6351805193,27.0654152319
140.305609557,35.719530075,29.3177518539
140.267129487,35.8038674071,32.4138604829
140.228567622,35.8881924514,36.1879792095
140.189923547,35.9725051437,40.2818759725
140.151196841,36.0568054191,44.4635525615
140.112387084,36.1410932125,49.0064172594
140.073493852,36.2253684584,54.4398859931
140.034516719,36.3096310908,60.7687114844
139.995455257,36.3938810436,67.2760679679
139.956309036,36.47811825,73.563939207
