lon,lat,depth,ID,etype
292.312,19.076,28.0,13045.0,EQ
292.355,19.096,13.0,13048.0,EQ
292.045,19.044,17.0,13049.0,EQ
292.697,19.243,8.0,13051.0,EQ
292.312,19.089,29.0,13061.0,EQ
292.191,19.094,28.0,13063.0,EQ
292.947,19.294,11.0,13064.0,EQ
292.011,19.011,24.0,13068.0,EQ
292.109,19.174,21.0,13079.0,EQ
293.898,19.074,9.0,13118.0,EQ
293.457,19.145,9.0,13139.0,EQ
293.925,19.074,16.0,13155.0,EQ
293.191,19.012,19.0,13159.0,EQ
294.812,19.002,13.0,13184.0,EQ
294.897,19.015,9.0,13194.0,EQ
294.664,19.022,11.0,13224.0,EQ
294.677,19.113,8.0,13227.0,EQ
294.67,19.072,7.0,13229.0,EQ
294.658,19.048,7.0,13240.0,EQ
294.23,19.186,9.0,13254.0,EQ
294.591,19.042,8.0,13273.0,EQ
294.603,19.054,11.0,13303.0,EQ
294.627,19.078,8.0,13313.0,EQ
294.647,19.05,11.0,13316.0,EQ
294.645,19.067,13.0,13317.0,EQ
294.666,19.059,7.0,13318.0,EQ
294.663,19.025,9.0,13322.0,EQ
295.122,19.069,9.0,13491.0,EQ
293.56,17.835,17.0,13729.0,EQ
291.64,18.225,29.0,13746.0,EQ
291.97,18.189,79.0,13747.0,EQ
291.848,18.152,98.0,13749.0,EQ
292.006,18.97,31.0,13751.0,EQ
292.15,18.98,42.0,13755.0,EQ
290.047,19.737,7.0,13772.0,EQ
292.124,19.22,17.0,13778.0,EQ
292.869,17.962,5.0,14008.0,EQ
293.526,17.918,20.7,14009.0,EQ
289.677,18.409,37.9,14052.0,EQ
291.167,18.986,26.0,14061.0,EQ
292.006,18.282,84.0,14063.0,EQ
293.14,18.075,18.9,14065.0,EQ
291.889,19.113,23.6,14091.0,EQ
292.07,19.108,30.8,14093.0,EQ
294.305,17.975,24.6,14473.0,EQ
294.571,17.967,5.0,14474.0,EQ
289.671,18.431,22.6,14525.0,EQ
290.298,18.74,26.4,14529.0,EQ
291.829,18.214,90.6,14536.0,EQ
