lon,lat,depth,strike,dip
126.95,-2.1,-51.81754,17.939623,26.787603
127.0,-2.1,-54.58639,16.782373,28.563559
127.05,-2.1,-57.60894,15.543087,30.682568
127.10000000000001,-2.1,-60.938255,14.295756,33.090412
127.15,-2.1,-64.62559,13.218906,35.467663
127.2,-2.1,-68.64482,12.41894,37.48914
127.25,-2.1,-72.949,11.822749,39.19036
127.3,-2.1,-77.51187,11.360818,40.6639
127.35000000000001,-2.1,-82.30722,11.009328,41.93082
127.4,-2.1,-87.30879,10.751805,43.009434
127.45,-2.1,-92.49035,10.576998,43.91543
127.5,-2.1,-97.825645,10.477312,44.661976
127.55,-2.1,-103.28845,10.448279,45.259876
127.60000000000001,-2.1,-108.852516,10.451811,45.814545
127.65,-2.1,-114.530815,10.352689,46.69838
127.7,-2.1,-120.45117,10.196883,47.79297
127.75,-2.1,-126.5886,10.125245,48.695564
127.8,-2.1,-132.90024,10.139555,49.38456
127.85,-2.1,-139.34322,10.230454,49.87584
127.9,-2.1,-145.87471,10.39247,50.18048
127.95,-2.1,-152.45183,10.623104,50.305367
128.0,-2.1,-159.03174,10.922308,50.253407
128.05,-2.1,-165.57156,11.292977,50.023693
128.1,-2.1,-172.02847,11.663253,49.795193
128.15,-2.1,-178.44661,11.953419,49.803127
128.2,-2.1,-184.89351,12.218074,49.939682
128.25,-2.1,-191.36124,12.511933,50.04508
128.3,-2.1,-197.8419,12.823359,50.11865
128.35,-2.1,-204.3276,13.140955,50.159348
128.4,-2.1,-210.81042,13.453424,50.165977
128.45,-2.1,-217.28247,13.749745,50.13703
128.5,-2.1,-223.73581,14.018662,50.07078
128.55,-2.1,-230.16257,14.2427225,49.976917
128.6,-2.1,-236.56049,14.356618,49.957184
128.65,-2.1,-242.97179,14.361394,50.013794
128.7,-2.1,-249.39516,14.328614,50.030922
128.75,-2.1,-255.81613,14.281668,49.982765
128.8,-2.1,-262.22028,14.229971,49.870216
128.85,-2.1,-268.59314,14.182809,49.693577
128.9,-2.1,-274.9203,14.15014,49.452682
128.95,-2.1,-281.18726,14.141745,49.146828
129.0,-2.1,-287.3796,14.168755,48.775005
129.05,-2.1,-293.4829,14.224196,48.372093
129.1,-2.1,-299.49924,14.2556095,48.029133
129.15,-2.1,-305.45575,14.237235,47.741547
129.2,-2.1,-311.35284,14.204074,47.448635
129.25,-2.1,-317.19,14.162278,47.148808
129.3,-2.1,-322.96667,14.117351,46.842476
129.35,-2.1,-328.68228,14.074734,46.530365
129.4,-2.1,-334.33633,14.040164,46.213123
129.45,-2.1,-339.92828,14.019939,45.89116
129.5,-2.1,-345.45755,14.02012,45.565323
129.55,-2.1,-350.92368,14.045002,45.240917
129.6,-2.1,-356.32794,14.096492,44.92084
129.65,-2.1,-361.67087,14.172188,44.60074
129.7,-2.1,-366.95218,14.268021,44.277885
129.75,-2.1,-372.17157,14.378949,43.951668
129.8,-2.1,-377.3288,14.499424,43.6213
129.85,-2.1,-382.42355,14.623969,43.286003
129.9,-2.1,-387.4556,14.74675,42.944836
129.95,-2.1,-392.4246,14.861324,42.596737
130.0,-2.1,-397.33026,14.995248,42.17811
130.05,-2.1,-402.14935,15.302606,41.47896
130.1,-2.1,-406.80536,15.860608,40.659836
130.15,-2.1,-411.3299,16.43512,40.05597
130.2,-2.1,-415.76584,16.916399,39.701443
130.25,-2.1,-420.15616,17.211739,39.591587
130.3,-2.1,-424.54382,17.236225,39.715534
130.35,-2.1,-428.9717,16.917788,40.05944
130.4,-2.1,-433.48282,16.202703,40.60894
130.45,-2.1,-438.12006,15.056863,41.351063
130.5,-2.1,-442.92636,13.752505,41.68938
125.7,-2.0500000000000003,9.224482,8.597037,29.861849
125.75,-2.0500000000000003,6.070435,7.5488725,29.342184
125.8,-2.0500000000000003,3.0321574,7.419757,28.446213
125.85000000000001,-2.0500000000000003,0.101079665,7.9668903,27.64267
125.9,-2.0500000000000003,-2.7313666,9.080087,26.933596
125.95,-2.0500000000000003,-5.47375,10.618866,26.323124
126.0,-2.0500000000000003,-8.134639,12.4151535,25.811861
126.05,-2.0500000000000003,-10.722602,14.279268,25.392488
